Month,CPI,Nominal,Real
January 1979,0.685,0.61,2.67
February 1979,0.692,0.63,2.75
March 1979,0.699,0.65,2.80
April 1979,0.706,0.68,2.89
May 1979,0.714,0.73,3.10
June 1979,0.722,0.82,3.43
July 1979,0.730,0.86,3.55
August 1979,0.737,0.89,3.65
September 1979,0.744,0.90,3.64
October 1979,0.752,0.92,3.70
November 1979,0.760,0.94,3.72
December 1979,0.769,0.98,3.87
January 1980,0.780,1.00,3.87
February 1980,0.790,1.02,3.90
March 1980,0.801,1.05,3.95
April 1980,0.809,1.05,3.92
May 1980,0.817,1.05,3.88
June 1980,0.825,1.05,3.86
July 1980,0.826,1.04,3.82
August 1980,0.832,1.04,3.77
September 1980,0.839,1.04,3.75
October 1980,0.847,1.03,3.68
November 1980,0.856,1.06,3.76
December 1980,0.864,1.10,3.85
January 1981,0.872,1.14,3.97
February 1981,0.880,1.19,4.09
March 1981,0.886,1.22,4.15
April 1981,0.891,1.21,4.09
May 1981,0.897,1.20,4.04
June 1981,0.905,1.19,3.99
July 1981,0.915,1.17,3.85
August 1981,0.922,1.19,3.90
September 1981,0.931,1.18,3.84
October 1981,0.934,1.18,3.83
November 1981,0.938,1.19,3.82
December 1981,0.941,1.20,3.84
January 1982,0.944,1.20,3.83
February 1982,0.947,1.17,3.73
March 1982,0.947,1.12,3.57
April 1982,0.950,1.10,3.50
May 1982,0.959,1.11,3.51
June 1982,0.970,1.17,3.63
July 1982,0.975,1.16,3.58
August 1982,0.977,1.14,3.53
September 1982,0.977,1.15,3.56
October 1982,0.981,1.17,3.60
November 1982,0.980,1.20,3.69
December 1982,0.977,1.15,3.57
January 1983,0.979,1.13,3.48
February 1983,0.980,1.11,3.41
March 1983,0.981,1.06,3.28
April 1983,0.988,1.16,3.55
May 1983,0.992,1.15,3.50
June 1983,0.994,1.15,3.51
July 1983,0.998,1.14,3.47
August 1983,1.001,1.15,3.48
September 1983,1.004,1.16,3.48
October 1983,1.008,1.15,3.44
November 1983,1.011,1.15,3.43
December 1983,1.014,1.14,3.39
January 1984,1.021,1.17,3.48
February 1984,1.026,1.17,3.45
March 1984,1.029,1.14,3.36
April 1984,1.033,1.14,3.34
May 1984,1.035,1.14,3.34
June 1984,1.037,1.14,3.32
July 1984,1.041,1.13,3.29
August 1984,1.044,1.19,3.44
September 1984,1.047,1.19,3.44
October 1984,1.051,1.19,3.41
November 1984,1.053,1.18,3.39
December 1984,1.055,1.18,3.37
January 1985,1.057,1.17,3.34
February 1985,1.063,1.15,3.27
March 1985,1.068,1.15,3.24
April 1985,1.070,1.16,3.29
May 1985,1.072,1.17,3.29
June 1985,1.075,1.15,3.24
July 1985,1.077,1.14,3.19
August 1985,1.079,1.14,3.18
September 1985,1.081,1.16,3.24
October 1985,1.085,1.19,3.31
November 1985,1.090,1.22,3.40
December 1985,1.095,1.23,3.39
January 1986,1.099,1.18,3.25
February 1986,1.097,1.04,2.86
March 1986,1.091,0.93,2.57
April 1986,1.087,0.90,2.49
May 1986,1.090,0.88,2.45
June 1986,1.094,0.84,2.33
July 1986,1.095,0.78,2.16
August 1986,1.096,0.81,2.24
September 1986,1.100,0.83,2.27
October 1986,1.102,0.81,2.23
November 1986,1.104,0.83,2.27
December 1986,1.108,0.84,2.30
January 1987,1.114,0.90,2.43
February 1987,1.118,0.90,2.44
March 1987,1.122,0.90,2.42
April 1987,1.127,0.90,2.42
May 1987,1.130,0.91,2.44
June 1987,1.135,0.92,2.46
July 1987,1.138,0.95,2.51
August 1987,1.143,0.96,2.54
September 1987,1.147,0.97,2.56
October 1987,1.150,0.97,2.56
November 1987,1.154,0.99,2.58
December 1987,1.156,0.98,2.56
January 1988,1.160,0.96,2.49
February 1988,1.162,0.93,2.43
March 1988,1.165,0.92,2.39
April 1988,1.172,0.93,2.41
May 1988,1.175,0.94,2.41
June 1988,1.180,0.92,2.36
July 1988,1.185,0.91,2.31
August 1988,1.190,0.90,2.29
September 1988,1.195,0.90,2.27
October 1988,1.199,0.89,2.23
November 1988,1.203,0.89,2.25
December 1988,1.207,0.92,2.30
January 1989,1.212,0.94,2.35
February 1989,1.216,0.94,2.35
March 1989,1.222,0.96,2.38
April 1989,1.231,1.01,2.48
May 1989,1.237,0.99,2.43
June 1989,1.241,0.97,2.35
July 1989,1.245,0.96,2.33
August 1989,1.245,0.95,2.32
September 1989,1.248,1.00,2.42
October 1989,1.254,1.03,2.47
November 1989,1.259,1.04,2.50
December 1989,1.263,1.13,2.71
January 1990,1.275,1.21,2.88
February 1990,1.280,1.07,2.52
March 1990,1.286,1.03,2.42
April 1990,1.289,1.02,2.39
May 1990,1.291,1.00,2.35
June 1990,1.299,0.98,2.27
July 1990,1.305,0.99,2.28
August 1990,1.316,1.21,2.77
September 1990,1.325,1.33,3.04
October 1990,1.334,1.44,3.26
November 1990,1.337,1.41,3.18
December 1990,1.342,1.36,3.07
January 1991,1.347,1.29,2.89
February 1991,1.348,1.19,2.66
March 1991,1.348,1.09,2.45
April 1991,1.351,1.08,2.41
May 1991,1.356,1.07,2.39
June 1991,1.360,1.12,2.48
July 1991,1.362,1.06,2.35
August 1991,1.366,1.10,2.43
September 1991,1.370,1.12,2.48
October 1991,1.372,1.14,2.52
November 1991,1.378,1.17,2.57
December 1991,1.382,1.12,2.46
January 1992,1.383,1.07,2.34
February 1992,1.386,1.06,2.31
March 1992,1.391,1.06,2.30
April 1992,1.394,1.08,2.34
May 1992,1.397,1.11,2.40
June 1992,1.401,1.13,2.43
July 1992,1.405,1.13,2.43
August 1992,1.408,1.12,2.41
September 1992,1.411,1.13,2.43
October 1992,1.417,1.15,2.45
November 1992,1.421,1.14,2.42
December 1992,1.423,1.11,2.36
January 1993,1.428,1.09,2.31
February 1993,1.431,1.09,2.30
March 1993,1.433,1.11,2.34
April 1993,1.438,1.10,2.32
May 1993,1.442,1.10,2.31
June 1993,1.443,1.09,2.29
July 1993,1.445,1.08,2.25
August 1993,1.448,1.06,2.22
September 1993,1.450,1.10,2.30
October 1993,1.456,1.22,2.53
November 1993,1.460,1.19,2.47
December 1993,1.463,1.10,2.27
January 1994,1.463,1.08,2.24
February 1994,1.467,1.11,2.29
March 1994,1.471,1.11,2.28
April 1994,1.472,1.11,2.27
May 1994,1.475,1.10,2.26
June 1994,1.479,1.10,2.26
July 1994,1.484,1.11,2.26
August 1994,1.490,1.12,2.28
September 1994,1.493,1.13,2.28
October 1994,1.494,1.12,2.27
November 1994,1.498,1.13,2.28
December 1994,1.501,1.11,2.24
January 1995,1.505,1.10,2.21
February 1995,1.509,1.09,2.18
March 1995,1.512,1.09,2.18
April 1995,1.518,1.10,2.20
May 1995,1.521,1.13,2.24
June 1995,1.524,1.12,2.22
July 1995,1.526,1.10,2.18
August 1995,1.529,1.11,2.19
September 1995,1.531,1.12,2.21
October 1995,1.535,1.12,2.20
November 1995,1.537,1.12,2.20
December 1995,1.539,1.13,2.22
January 1996,1.547,1.15,2.24
February 1996,1.550,1.15,2.23
March 1996,1.555,1.18,2.30
April 1996,1.561,1.28,2.47
May 1996,1.564,1.27,2.46
June 1996,1.567,1.20,2.32
July 1996,1.570,1.18,2.27
August 1996,1.572,1.20,2.31
September 1996,1.577,1.27,2.43
October 1996,1.582,1.32,2.53
November 1996,1.587,1.32,2.52
December 1996,1.591,1.31,2.49
January 1997,1.594,1.29,2.45
February 1997,1.597,1.28,2.42
March 1997,1.598,1.23,2.33
April 1997,1.599,1.21,2.29
May 1997,1.599,1.20,2.26
June 1997,1.602,1.17,2.21
July 1997,1.604,1.15,2.17
August 1997,1.608,1.17,2.19
September 1997,1.612,1.16,2.18
October 1997,1.615,1.18,2.22
November 1997,1.617,1.19,2.23
December 1997,1.618,1.11,2.08
January 1998,1.620,1.12,2.09
February 1998,1.620,1.08,2.02
March 1998,1.620,1.06,1.98
April 1998,1.622,1.07,1.99
May 1998,1.626,1.07,1.99
June 1998,1.628,1.04,1.93
July 1998,1.632,1.03,1.91
August 1998,1.634,1.01,1.86
September 1998,1.635,1.02,1.89
October 1998,1.639,1.04,1.92
November 1998,1.641,1.02,1.88
December 1998,1.644,0.97,1.79
January 1999,1.647,0.97,1.78
February 1999,1.647,0.96,1.76
March 1999,1.648,1.00,1.83
April 1999,1.659,1.08,1.97
May 1999,1.660,1.07,1.96
June 1999,1.660,1.07,1.96
July 1999,1.667,1.12,2.04
August 1999,1.671,1.17,2.12
September 1999,1.678,1.22,2.19
October 1999,1.681,1.23,2.21
November 1999,1.684,1.26,2.27
December 1999,1.688,1.29,2.32
January 2000,1.693,1.36,2.42
February 2000,1.700,1.46,2.60
March 2000,1.710,1.48,2.62
April 2000,1.709,1.42,2.52
May 2000,1.712,1.42,2.51
June 2000,1.722,1.42,2.50
July 2000,1.727,1.43,2.51
August 2000,1.727,1.47,2.57
September 2000,1.736,1.64,2.85
October 2000,1.739,1.64,2.85
November 2000,1.742,1.62,2.81
December 2000,1.746,1.57,2.71
January 2001,1.756,1.52,2.63
February 2001,1.760,1.49,2.56
March 2001,1.761,1.40,2.40
April 2001,1.764,1.42,2.44
May 2001,1.773,1.50,2.55
June 2001,1.777,1.48,2.52
July 2001,1.774,1.38,2.34
August 2001,1.774,1.39,2.37
September 2001,1.781,1.50,2.54
October 2001,1.776,1.35,2.30
November 2001,1.775,1.26,2.15
December 2001,1.774,1.17,1.99
January 2002,1.777,1.15,1.96
February 2002,1.780,1.15,1.96
March 2002,1.785,1.23,2.08
April 2002,1.793,1.31,2.21
May 2002,1.795,1.31,2.20
June 2002,1.796,1.29,2.17
July 2002,1.800,1.30,2.18
August 2002,1.805,1.33,2.23
September 2002,1.808,1.41,2.36
October 2002,1.812,1.46,2.44
November 2002,1.815,1.42,2.37
December 2002,1.818,1.43,2.38
January 2003,1.826,1.49,2.46
February 2003,1.836,1.65,2.73
March 2003,1.839,1.71,2.81
April 2003,1.832,1.53,2.53
May 2003,1.829,1.45,2.40
June 2003,1.831,1.42,2.35
July 2003,1.837,1.44,2.36
August 2003,1.845,1.49,2.43
September 2003,1.851,1.46,2.39
October 2003,1.849,1.48,2.42
November 2003,1.850,1.48,2.42
December 2003,1.855,1.49,2.43
January 2004,1.863,1.55,2.52
February 2004,1.867,1.58,2.56
March 2004,1.871,1.63,2.63
April 2004,1.874,1.69,2.73
May 2004,1.882,1.75,2.81
June 2004,1.889,1.71,2.74
July 2004,1.891,1.74,2.78
August 2004,1.892,1.83,2.93
September 2004,1.898,1.92,3.06
October 2004,1.908,2.13,3.38
November 2004,1.917,2.15,3.39
December 2004,1.917,2.01,3.17
January 2005,1.916,1.96,3.09
February 2005,1.924,2.03,3.19
March 2005,1.931,2.21,3.47
April 2005,1.937,2.29,3.58
May 2005,1.936,2.20,3.44
June 2005,1.937,2.29,3.58
July 2005,1.949,2.37,3.68
August 2005,1.961,2.50,3.86
September 2005,1.988,2.82,4.29
October 2005,1.991,3.10,4.70
November 2005,1.981,2.57,3.93
December 2005,1.981,2.44,3.73
January 2006,1.993,2.47,3.74
February 2006,1.994,2.48,3.75
March 2006,1.997,2.56,3.88
April 2006,2.007,2.73,4.11
May 2006,2.013,2.90,4.35
June 2006,2.018,2.90,4.34
July 2006,2.029,2.93,4.37
August 2006,2.038,3.05,4.52
September 2006,2.028,2.78,4.15
October 2006,2.019,2.52,3.77
November 2006,2.020,2.54,3.81
December 2006,2.031,2.61,3.89
January 2007,2.034,2.48,3.69
February 2007,2.042,2.49,3.69
March 2007,2.053,2.67,3.93
April 2007,2.059,2.83,4.16
May 2007,2.068,2.80,4.09
June 2007,2.072,2.81,4.10
July 2007,2.076,2.87,4.18
August 2007,2.077,2.87,4.18
September 2007,2.085,2.95,4.28
October 2007,2.092,3.07,4.45
November 2007,2.108,3.40,4.87
December 2007,2.114,3.34,4.78
January 2008,2.122,3.31,4.72
February 2008,2.127,3.38,4.80
March 2008,2.134,3.88,5.50
April 2008,2.139,4.08,5.77
May 2008,2.152,4.43,6.22
June 2008,2.175,4.68,6.51
July 2008,2.190,4.70,6.50
August 2008,2.187,4.30,5.95
September 2008,2.189,4.02,5.56
October 2008,2.170,3.58,4.98
November 2008,2.132,2.88,4.08
December 2008,2.114,2.45,3.50
January 2009,2.119,2.29,3.27
February 2009,2.127,2.20,3.12
March 2009,2.125,2.09,2.98
April 2009,2.127,2.22,3.16
May 2009,2.130,2.23,3.16
June 2009,2.148,2.53,3.56
July 2009,2.147,2.54,3.58
August 2009,2.154,2.63,3.70
September 2009,2.159,2.63,3.68
October 2009,2.165,2.67,3.73
November 2009,2.172,2.79,3.89
December 2009,2.173,2.74,3.82
January 2010,2.175,2.84,3.96
February 2010,2.173,2.78,3.88
March 2010,2.174,2.91,4.06
April 2010,2.174,3.06,4.26
May 2010,2.173,3.07,4.27
June 2010,2.172,2.95,4.11
July 2010,2.176,2.91,4.05
August 2010,2.179,2.96,4.11
September 2010,2.183,2.95,4.08
October 2010,2.190,3.05,4.21
November 2010,2.196,3.14,4.33
December 2010,2.205,3.24,4.45
January 2011,2.212,3.39,4.63
February 2011,2.219,3.58,4.89
March 2011,2.230,3.90,5.30
April 2011,2.241,4.06,5.49
May 2011,2.248,4.05,5.45
June 2011,2.248,3.93,5.29
July 2011,2.254,3.91,5.24
August 2011,2.261,3.86,5.16
September 2011,2.266,3.84,5.12
October 2011,2.268,3.80,5.07
November 2011,2.272,3.96,5.28
December 2011,2.272,3.86,5.14
January 2012,2.278,3.83,5.09
February 2012,2.283,3.95,5.24
March 2012,2.288,4.13,5.46
April 2012,2.292,4.12,5.43
May 2012,2.287,3.98,5.26
June 2012,2.285,3.76,4.97
July 2012,2.286,3.72,4.92
August 2012,2.299,3.98,5.24
September 2012,2.310,4.12,5.39
October 2012,2.316,4.09,5.35
November 2012,2.312,4.00,5.23
December 2012,2.312,3.96,5.18
January 2013,2.317,3.91,5.10
February 2013,2.329,4.11,5.34
March 2013,2.323,4.07,5.30
April 2013,2.318,3.93,5.13
May 2013,2.319,3.87,5.05
June 2013,2.324,3.85,5.01
July 2013,2.329,3.87,5.02
August 2013,2.335,3.90,5.06
September 2013,2.335,3.96,5.13
October 2013,2.337,3.88,5.03
November 2013,2.341,3.84,4.96
December 2013,2.347,3.88,5.00
January 2014,2.353,3.89,5.01
February 2014,2.355,3.98,5.12
March 2014,2.360,4.00,5.13
April 2014,2.365,3.96,5.07
May 2014,2.369,3.94,5.03
June 2014,2.372,3.91,4.98
July 2014,2.375,3.88,4.95
August 2014,2.375,3.84,4.89
September 2014,2.375,3.79,4.83
October 2014,2.374,3.68,4.69
November 2014,2.370,3.65,4.66
December 2014,2.363,3.41,4.37
January 2015,2.347,3.00,3.86
February 2015,2.353,2.86,3.67
March 2015,2.360,2.90,3.71
April 2015,2.362,2.78,3.56
May 2015,2.370,2.89,3.69
June 2015,2.377,2.87,3.66
July 2015,2.380,2.79,3.54
August 2015,2.380,2.60,3.30
September 2015,2.375,2.51,3.19
October 2015,2.377,2.52,3.21
November 2015,2.380,2.47,3.14
December 2015,2.378,2.31,2.94
January 2016,2.377,2.14,2.73
February 2016,2.373,2.00,2.55
March 2016,2.381,2.09,2.66
April 2016,2.390,2.15,2.72
May 2016,2.396,2.31,2.92
June 2016,2.402,2.42,3.05
July 2016,2.401,2.40,3.03
August 2016,2.405,2.35,2.96
September 2016,2.412,2.39,3.00
October 2016,2.417,2.45,3.07
November 2016,2.420,2.44,3.05
December 2016,2.426,2.51,3.13
January 2017,2.436,2.58,3.20
February 2017,2.440,2.57,3.18
March 2017,2.439,2.55,3.17
April 2017,2.442,2.58,3.20
May 2017,2.440,2.56,3.17
June 2017,2.442,2.51,3.11
July 2017,2.442,2.50,3.09
August 2017,2.452,2.60,3.20
September 2017,2.464,2.78,3.42
October 2017,2.466,2.79,3.43
November 2017,2.473,2.91,3.56
December 2017,2.478,2.91,3.55
January 2018,2.489,3.02,3.67
February 2018,2.495,3.05,3.69
March 2018,2.496,2.99,3.62
April 2018,2.502,3.10,3.74
May 2018,2.508,3.24,3.91
June 2018,2.510,3.25,3.92
July 2018,2.512,3.23,3.89
August 2018,2.517,3.22,3.87
September 2018,2.522,3.26,3.91
October 2018,2.528,3.37,4.03
November 2018,2.526,3.30,3.95
December 2018,2.528,3.12,3.74
January 2019,2.527,2.98,3.57
February 2019,2.533,3.00,3.58
March 2019,2.542,3.08,3.66
April 2019,2.552,3.12,3.70
May 2019,2.553,3.16,3.75
June 2019,2.552,3.09,3.66
July 2019,2.557,3.05,3.60
August 2019,2.561,3.01,3.55
September 2019,2.565,3.02,3.56
October 2019,2.572,3.05,3.59
November 2019,2.578,3.07,3.60
December 2019,2.586,3.06,3.57
January 2020,2.590,3.05,3.56
February 2020,2.592,2.91,3.39
March 2020,2.581,2.73,3.20
April 2020,2.561,2.49,2.94
May 2020,2.559,2.39,2.83
June 2020,2.570,2.41,2.83
July 2020,2.583,2.43,2.85
August 2020,2.594,2.43,2.83
September 2020,2.600,2.41,2.81
October 2020,2.603,2.39,2.78
November 2020,2.608,2.43,2.82
December 2020,2.620,2.58,2.98
January 2021,2.627,2.68,3.09
February 2021,2.636,2.85,3.27
March 2021,2.649,3.15,3.60
April 2021,2.667,3.13,3.55
May 2021,2.684,3.22,3.62
June 2021,2.706,3.29,3.67
July 2021,2.718,3.34,3.72
August 2021,2.729,3.35,3.71
September 2021,2.740,3.38,3.74
October 2021,2.765,3.61,3.95
November 2021,2.787,3.73,4.04
December 2021,2.809,3.64,3.92
January 2022,2.826,3.72,3.99
February 2022,2.846,4.03,4.29
March 2022,2.875,5.10,5.37
April 2022,2.886,5.12,5.37
May 2022,2.913,5.57,5.79
June 2022,2.947,5.75,5.90
July 2022,2.946,5.49,5.63
August 2022,2.953,5.01,5.13
September 2022,2.965,4.99,5.09
October 2022,2.980,5.21,5.29
November 2022,2.986,5.26,5.32
December 2022,2.990,4.71,4.77
January 2023,3.005,4.58,4.61
February 2023,3.016,4.41,4.43
March 2023,3.018,4.21,4.22
